,Label,Text
0,0,Coronavirus was created in a government lab as a bioweapon and then released on the people of China
1,0,"The lie that coronavirus came from a bat or a pangolin is concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries"
2,0,The health experts had predicted the virus could kill 65 million people in a year
3,0,"A video clip supposedly showed that the exponential spread of a new coronavirus faster than SARS, Ebola, and Swine Flu"
4,1,"Almost 200 people in Italy died from the coronavirus in a 24-hour period between March 11 and 12, 2020"
5,1,"A doctor in Italy warned coronavirus wasn’t just a bad flu. And he said: ""The situation is now nothing short of dramatic. No other words come to mind."""
6,0,Chinese doctors confirmed African people are genetically resistant to Coronavirus
7,0,"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead"
8,0,"Contaminated money can spread the new coronavirus. The World Health Organization has advised people to ""wash their hands after handling banknotes."""
9,0,"Warm weather will kill coronavirus. U.S. President Donald Trump said he hoped the virus would go away in April 2020 because the ""heat generally speaking kills this kind of virus."""
10,0,"A viral social media post advised the public to ""keep your throat moist"" in order to avoid contracting the respiratory infection"
11,0,Japanese doctors advice that taking a few sips of water every 15 mins will prevent the new coronavirus from entering your windpipe and lungs
12,0,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection"
13,0,A homemade hand sanitizer made with Tito's Vodka can be used to fight the new coronavirus
14,0,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread
15,0,A coronavirus-related health advisory graphic issued by the World Health Organization warned against unprotected sex with farm animals
16,0,Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system
17,0,Drinking boiled garlic water will cure COVID-19
18,0,Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections
19,0,People who have survived the COVID-19 coronavirus disease can become reinfected by the virus
20,1,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases
21,1,The Chinese government is building a hospital in 10 days to deal with the new coronavirus
22,0,"A video shows a chaotic scene in Wuhan, China, involving doctors armed with weapons, gunshots to deter people from leaving a new coronavirus quarantine, and a woman who was shot dead after she attempted to break through a roadblock"
23,0,"A People's Daily video claiming to show ""full-front disinfection work"" in Wuhan included footage taken at an airport in Taiwan"
24,0,"Chinese officials are seeking approval to start the mass killing of 20,000 people in order to stop the spread of new coronavirus"
25,0,"Satellite data show a large release of sulfur dioxide gas from the outskirts of Wuhan, China, and could be viewed as evidence of the mass cremation of new coronavirus victims"
26,0,"Italy has stopped treating elderly coronavirus patients due to ""socialized medicine."""
27,0,"U.S. President Donald Trump referred to the new coronavirus as a ""hoax."""
28,1,The Trump administration fired the U.S. pandemic response team in 2018 to cut costs
29,0,U.S. President Donald Trump cut funding for the Centers for Disease Control and Prevention (CDC)
30,0,U.S. House Speaker Nancy Pelosi held up a coronavirus funding package so that Democrats could run negative ads about Republicans that made the latter look bad
31,0,Disagreement over abortion will slow coronavirus-relief talks
32,1,"U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families"
33,0,U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch’
34,0,"U.S. President Barack Obama waited until millions were infected and thousands were dead before declaring a public health emergency concerning swine flu, the H1N1 virus"
35,1,14 People with coronavirus took on a plane to US with uninfected passengers
36,0,Donald Trump owned stock in Thermo-Fisher Scientific at a time when his presidential administration was advocating for a COVID-19 test that uses Thermo-Fisher equipment
37,1,"Denver councilwoman Candi CdeBaca tweeted ""#solidarity"" in response to a post suggesting that, if infected with new coronavirus, a person would attend as many Trump rallies as possible"
38,0,"The White House sent out text messages in mid-March 2020 informing people that a ""mandatory quarantine"" in U.S. would start within 48 hours"
39,1,"Congress has passed a US$8.3 billion coronavirus response bill, which includes $2.2 billion for the CDC to “prevent, prepare for, and respond to coronavirus, domestically or internationally.”"
40,1,New York Governor Andrew Cuomo called the federal government’s response to the coronavirus outbreak “absurd and nonsensical.”
41,0,"If you get sick with coronavirus, Donald Trump can make you stay home"
42,1,"If you get sick with coronavirus, an U.S. government official in your community can make you stay home"
43,0,Harvard professor Charles Lieber was arrested for concealing funding from a Chinese lab supposedly connected to the origin of the new coronavirus
44,0,A Chinese intelligence officer revealed that a new coronavirus was developed in a lab as a bioweapon
45,0,"A major disease outbreak occurred in ""every election year"" since 2004"
46,0,"The fictional ""Umbrella Corporation"" from the game ""Resident Evil"" shares a logo with a biotech lab in Wuhan, Hubei Province in China, where a new coronavirus is believed to have originated"
47,0,A photograph shows a railroad tank car identified as carrying 'COVID-19.'
48,0,A traveler from Beijing was caught at Dulles International Airport with a suitcase full of dead birds that the person tried to disguise as pet food
49,0,A Nostradamus prophecy foretells the 2020 COVID-19 coronavirus disease pandemic
50,0,"Self-described psychic Sylvia Browne ""predicted"" a 2020 outbreak of the new coronavirus"
51,0,"Author Dean Koontz predicted the 2020 new coronavirus outbreak in his 1981 novel ""The Eyes of Darkness."""
52,0,"""The Simpsons"" TV show predicted the 2020 new coronavirus outbreak in a 1993 episode"
53,1,"Dr. Abdu Sharkawy, an infectious diseases specialist, penned a viral Facebook post warning about the loss of reason in the face of panic over the new coronavirus in 2020"
54,0,"The ability to differentiate the “common cold” from “coronavirus pneumonia”, interpreted here as COVID-19 is based on the presence or absence of mucus or phlegm, which is also known as sputum, during coughing"
55,0,The coronavirus is “heat resistant”
56,0,Coronaviruses will die at the first exposure to sun
57,1,"Coronaviruses as a group are more susceptible to inactivation from ultraviolet radiation than other groups of viruses, like adenoviruses"
58,0,Viral particles released during a sneeze can reach 10 feet
59,1,The coronavirus survive longer on metal surfaces
60,1,"We found that viable [COVID-19] virus could be detected in aerosols up to 3 hours post aerosolization, up to 4 hours on copper, up to 24 hours on cardboard and up to 2-3 days on plastic and stainless steel"
61,0,Ingestion of cold drinks and food can cause or exacerbate health conditions such as URTI
62,1,Gargling helps stem the transmission of viral diseases that cause URTIs
63,1,A letter providing tips on how to protect against the new coronavirus was authored by pathologist James Robb
64,0,Cough or sneeze into a disposable tissue and discard. Use your elbow only if you have to. The clothing on your elbow will contain infectious virus that can be passed on for up to a week or more
65,0,Sales of Corona beer dropped sharply in early 2020 because consumers mistakenly associated the brand name with the new coronavirus
66,0,You can get the coronavirus by drinking Corona beer
67,0,U.S. Vice President Mike Pence introduced a program to cure new coronavirus carriers with the discredited practice of conversion therapy
68,0,"U.S. Vice President Mike Pence believes turn gay people straight, Pence claimed “No-one is born with coronavirus, so the key is making them hate everything about themselves. Then and only then will they reject their unhealthy attachment to this so-called respiratory virus.”"
69,0,"In February 2020 the Vatican said that Pope Francis and two aides had tested positive for COVID-19, a disease caused by a new coronavirus"
70,0,The Vatican has confirmed in a statement that Pope Francis and two of his aides have tested positive for the novel Coronavirus
71,0,Francis had been tested for coronavirus and the result was negative
72,0,Parents can receive a case of baby formula during the COVID-19 pandemic by calling the number on the back of the company's product
73,1,A few McDonald's locations in North Carolina announced in March 2020 that they will provide free lunches to school-age children as families deal with the spread of COVID-19
74,0,Every McDonald's is giving free lunches to school-age children during the COVID-19 pandemic
75,0,Red Cross workers are knocking on doors of people's homes and selling coronavirus home tests
76,1,The U.S. government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients
77,0,Videos show people collapsing on the street due to coronavirus
78,1,"A spokesperson for the World Health Organization said that fainting in this manner from coronavirus would be ""atypical."""
79,0,Sticking a blow dryer in your face or sitting in a sauna and breathing in hot air would kill the coronavirus
80,0,Medical professionals and institutions recommend people breathe hot air to kill the coronavirus
81,1,"Amid a nationwide COVID-19 lockdown, Italians reported seeing wildlife such as swans and dolphins ""returning"" to newly tranquil waterways, ports, and canals"
82,0,"An MSNBC reporter said on air: ""I hope enough people die from coronavirus that it harms Trump's reelection."""
83,0,Rapper Eminem was the first celebrity to be diagnosed with new coronavirus in February 2020
84,0,"BBC News reported that actor Daniel Radcliffe was the ""first famous person"" to contract the coronavirus"
85,0,Staff at Gold Coast Hospital in Australia rolled in a Wilson volleyball to keep Tom Hanks company in quarantine after he was diagnosed with the coronavirus
86,1,"On March 11, 2020, actors Tom Hanks and Rita Wilson announced that they had been diagnosed with COVID-19, the disease caused by the coronavirus spreading around the globe, while they were abroad"
87,1,"Presidential nominating contests in the U.S. are being pushed back, and a $1 trillion-plus U.S. economic rescue package is being negotiated"
88,1,"Supplies including protective gear, respirators and hand sanitizer are dwindling"
89,1,"A photograph posted on social media in March 2020 shows an authentic image of U.S. President Donald Trump's speech notes with the word ""Corona"" scratched out and replaced in handwriting by ""Chinese."""
90,1,The rapidly spreading coronavirus pandemic is taking a particularly harsh toll on older people
91,1,USA Today published a front-page article about the development of a COVID-19 vaccine the same day Kobe Bryant's death was reported
92,1,"Across a country where lines are long, some shelves are empty and patience is thin, authorities are receiving a surge of reports about merchants trying to cash in on the coronavirus crisis with outrageous prices, phony cures and other scams. An Associated Press survey of attorneys general or consumer protection agencies nationwide found reports already exceeded 5,000, with hundreds more arriving daily"
93,1,"Coronavirus layoffs spark surge in state jobless claims. In Ohio, more than 48,000 people applied for jobless benefits in two days. The tally during the same period the prior week: just 1,825"
94,1,"Four Brooklyn Nets players, including Kevin Durant, have tested positive for the new coronavirus, bringing the total to seven known players in the NBA"
95,1,"WASHINGTON (AP) — A clinical trial evaluating a vaccine designed to protect against the new coronavirus will begin Monday, according to a government official"
96,1,CBS News shut down its New York City headquarters for cleaning and disinfecting after two of its employees tested positive for coronavirus
97,1,Health officials confirmed another case of the novel coronavirus in Northern California
98,1,President Donald Trump called NBC News correspondent Peter Alexander a “terrible reporter” during a White House news briefing for asking what he would say to Americans who are scared about the coronavirus
99,1,New York Governor Andrew Cuomo announced he was directing all workers in nonessential business to stay home and banned gatherings statewide
100,1,"During the outbreak, business has more than doubled at the Winhall Market near Stratton Mountain Ski Resort in southern Vermont, as residents of New York and Boston pour in"
101,1,"Valencia, Spain, has closed its beaches to prevent people fleeing the virus from coming there, and leading to a reverse migration away from the shore"
102,1,"Monaco’s head of state Prince Albert II contracts coronavirus. In a statement, the palace said Albert is continuing to work from his home office"
103,0,The United States offered large sums of money to secure a COVID-19 vaccine for exclusive U.S. use
104,0,"German government sources told Reuters that the U.S. “was looking into how it could gain access to a potential vaccine being developed by a German firm, CureVac.”"
105,1,Elba is the latest high profile celebrity to have tested positive for the virus
106,0,The coronavirus occur from a bat or a pangolin
107,0,The coronavirus come from a cave or a forest in the Chinese province of Hubei
108,1,"NY, NJ, Connecticut close bars, eateries to fight coronavirus. The governors of all three states said essential businesses such as supermarkets and gas stations will be able to stay open after 8 p.m. Monday, though all non-essential businesses must close. Restaurants will be able to offer take-out and delivery"
109,1,"The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump’s financial records"
110,0,Spread of coronavirus includes transmission from touching contaminated surfaces
111,1,"The coronavirus can live in the air for several hours, up to 24 hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it"
112,0,There is no risk of spread through sweat
113,0,"Once you recover from coronavirus, you won’t get reinfected"
114,0,Coronavirus will just disappear in the summertime like influenza
115,0,"Donating blood requires that you be administered a free test for the COVID-19, a disease caused by the coronavirus"
116,0,You will get a free coronavirus test by donating blood
117,1,A second person who was at Mar-a-Lago with President Donald Trump has tested positive for coronavirus. That's according to a Republican official who spoke on condition of anonymity in order to discuss private health matters
118,1,Trump declares coronavirus pandemic a national emergency. The president said it would free up as much as $50 billion for state and local governments to respond to the outbreak
119,1,Boston marathon postponed until Sept. 14 to prevent coronavirus spread
120,1,The novel coronavirus can live for two to three days on plastic and stainless steel
121,0,A map from Johns Hopkins University that shows the spread of COVID-19 contains malware
122,1,Disneyland closes as California rushes to battle coronavirus
123,1,Cristina Higgins authored a personal account about the spread of COVID-19 in Italy
124,1,"“We have friends who are getting sick. It’s very stressful,” Higgins told NBC News over the phone from her home in Bergamo, where she, like everyone else, is under government-ordered home isolation, even though she and her family are not sick"
125,0,COVID-19 is same as flu
126,1,"Anthony Fauci, the director of the National Institute of Allergy and Infectious Diseases, told the House Oversight and Reform Committee that COVID-19 was at least “10 times as lethal” as the seasonal flu"
127,1,"Italy has restricted public gatherings and travel for all 60 million of its residents. Nonessential businesses such as restaurants and bars have been closed, and the country is encouraging social distancing. Food stores and pharmacies are about the only businesses that will be allowed to stay open until restrictions are lifted"
128,1,Intensive care units in Italy are operating at capacity
129,1,"If the numbers of contagion do not start to go down, the system, Italy, will collapse. Why? Today the ICUs in Lombardy are at capacity – more than capacity. They have begun to put ICU units in the hallways. If the numbers do not go down, the growth rate of contagion tells us that there will be thousands of people who in a matter of a week? two weeks? who will need care. What will happen when there are 100, or a 1000 people who need the hospital and only a few ICU places left"
130,1,"NHL suspends season amid coronavirus pandemic. NHL Commissioner Gary Bettman said there are hopes of resuming the season, holding the playoffs and still handing out the Stanley Cup"
